Protocol,DosEnabled,Seed,NodeSpeed,NodePause,NumAttackers,AttackerNodes,AttackTargetNode,DosRate,TxPackets,RxPackets,PDR_percent,Throughput_kbps,AvgDelay_ms,LostPacketsByDiff,FlowmonLostPackets,ActiveDuration_s
AODV,true,7,10,0,1,49,0,1Mbps,3975,2588,65.1069,19.1139,38.2635,1387,1291,99.6534
AODV,false,7,2,0,0,,0,1Mbps,3975,2915,73.3333,21.5287,42.2841,1060,956,99.655
AODV,false,7,5,0,0,,0,1Mbps,3975,2629,66.1384,19.4165,29.3402,1346,1312,99.6545
AODV,true,7,2,0,1,49,0,1Mbps,3975,2738,68.8805,20.2346,83.8956,1237,1091,99.5902
AODV,true,7,5,0,1,49,0,1Mbps,3975,2281,57.3836,16.8467,188.795,1694,1619,99.6526
AODV,true,7,10,0,3,49|48|47,0,1Mbps,3975,1574,39.5975,11.6249,207.133,2401,2207,99.6534
AODV,true,7,10,0,5,49|48|47|46|45,0,1Mbps,3975,1347,33.8868,9.95042,216.653,2628,2373,99.6331
AODV,false,8,10,0,0,,0,1Mbps,3972,2080,52.3666,15.4025,74.5715,1892,1739,99.3919
AODV,true,8,10,0,1,49,0,1Mbps,3972,1661,41.8177,12.2892,115.738,2311,2224,99.4772
AODV,false,8,2,0,0,,0,1Mbps,3972,2415,60.8006,17.8682,14.0911,1557,1332,99.475
AODV,false,8,5,0,0,,0,1Mbps,3972,2126,53.5247,15.7294,47.3337,1846,1737,99.4783
AODV,true,8,2,0,1,49,0,1Mbps,3972,2403,60.4985,17.7794,24.2933,1569,1408,99.475
AODV,true,8,5,0,1,49,0,1Mbps,3972,1753,44.1339,12.9699,100.438,2219,2029,99.4772
AODV,true,8,10,0,3,49|48|47,0,1Mbps,3972,910,22.9104,6.74816,338.24,3062,2878,99.2507
AODV,true,8,10,0,5,49|48|47|46|45,0,1Mbps,3972,516,12.9909,3.8174,251.004,3456,3263,99.4854
