Protocol,DosEnabled,Seed,NodeSpeed,NodePause,NumAttackers,AttackerNodes,AttackTargetNode,DosRate,TxPackets,RxPackets,PDR_percent,Throughput_kbps,AvgDelay_ms,LostPacketsByDiff,FlowmonLostPackets,ActiveDuration_s
OLSR,false,7,10,0,0,,0,1Mbps,3145,1741,55.3577,12.8583,3.21544,1404,1262,99.6534
OLSR,true,7,10,0,1,49,0,1Mbps,3186,1726,54.1745,12.7475,25.3759,1460,1315,99.6534
OLSR,false,7,2,0,0,,0,1Mbps,2699,1753,64.95,12.9804,7.53767,946,791,99.3965
OLSR,false,7,5,0,0,,0,1Mbps,2508,1754,69.9362,12.9542,6.59511,754,723,99.6545
OLSR,true,7,2,0,1,49,0,1Mbps,2408,1435,59.593,10.6247,93.7991,973,882,99.4065
OLSR,true,7,5,0,1,49,0,1Mbps,2525,1631,64.5941,12.0452,17.21,894,846,99.6592
OLSR,true,7,10,0,3,49|48|47,0,1Mbps,2241,1341,59.8394,9.904,44.2703,900,822,99.6543
OLSR,true,7,10,0,5,49|48|47|46|45,0,1Mbps,2135,1386,64.918,10.2364,68.6935,749,674,99.6534
OLSR,false,8,10,0,0,,0,1Mbps,2812,1141,40.5761,8.45273,13.2621,1671,1533,99.3497
OLSR,true,8,10,0,1,49,0,1Mbps,2257,996,44.1294,7.37854,70.5917,1261,1171,99.3497
OLSR,false,8,2,0,0,,0,1Mbps,3159,2729,86.3881,20.1914,5.13284,430,405,99.475
OLSR,false,8,5,0,0,,0,1Mbps,2621,1741,66.425,12.8986,6.7113,880,783,99.3422
OLSR,true,8,2,0,1,49,0,1Mbps,3014,2685,89.0843,19.8659,4.15444,329,311,99.475
OLSR,true,8,5,0,1,49,0,1Mbps,2410,1687,70,12.4985,40.4338,723,667,99.3428
OLSR,true,8,10,0,3,49|48|47,0,1Mbps,1792,747,41.6853,5.53805,127.697,1045,909,99.2753
OLSR,true,8,10,0,5,49|48|47|46|45,0,1Mbps,1563,548,35.0608,4.0628,163.152,1015,840,99.2733
OLSR,false,9,10,0,0,,0,1Mbps,2483,900,36.2465,6.65012,13.0562,1583,1415,99.6072
OLSR,true,9,10,0,1,49,0,1Mbps,1480,667,45.0676,4.9275,14.7612,813,741,99.627
OLSR,false,9,2,0,0,,0,1Mbps,3546,3076,86.7456,22.7234,5.42088,470,414,99.6301
OLSR,false,9,5,0,0,,0,1Mbps,2829,1658,58.6073,12.2489,4.8519,1171,1070,99.6241
OLSR,true,9,2,0,1,49,0,1Mbps,2804,2283,81.4194,16.8592,54.1334,521,464,99.6662
OLSR,true,9,5,0,1,49,0,1Mbps,2491,1352,54.2754,9.98687,66.0777,1139,1056,99.638
OLSR,true,9,10,0,3,49|48|47,0,1Mbps,1487,634,42.6362,4.68464,48.1744,853,826,99.6072
OLSR,true,9,10,0,5,49|48|47|46|45,0,1Mbps,1482,587,39.6086,4.33736,36.4615,895,849,99.6072
OLSR,false,10,10,0,0,,0,1Mbps,1408,435,30.8949,3.21488,20.1509,973,883,99.5871
OLSR,true,10,10,0,1,49,0,1Mbps,1388,427,30.7637,3.16915,23.4936,961,897,99.166
OLSR,false,10,2,0,0,,0,1Mbps,3073,2460,80.0521,18.1652,4.13376,613,526,99.6718
OLSR,false,10,5,0,0,,0,1Mbps,2659,1619,60.8876,11.9611,5.57635,1040,976,99.6212
OLSR,true,10,2,0,1,49,0,1Mbps,2447,1811,74.009,13.3795,45.057,636,581,99.6223
OLSR,true,10,5,0,1,49,0,1Mbps,2302,1262,54.8219,9.32363,64.4613,1040,975,99.6212
OLSR,true,10,10,0,3,49|48|47,0,1Mbps,806,413,51.2407,3.06524,18.5369,393,332,99.166
OLSR,true,10,10,0,5,49|48|47|46|45,0,1Mbps,774,397,51.292,2.94648,27.8308,377,293,99.1665
